"","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count"
"hsa-miR-18b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1908-3p",0,0,0,0,0,0,2,0,0,0,0,1
"hsa-miR-1908-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1909-3p",1,0,1,1,1,0,1,0,0,0,0,0
"hsa-miR-1909-5p",1,0,0,1,0,0,0,0,0,1,1,0
"hsa-miR-190a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-190a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-190b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-190b-5p",0,0,0,0,0,3,0,0,0,0,0,0
"hsa-miR-191-3p",0,0,0,0,1,0,1,0,0,1,0,0
"hsa-miR-191-5p",0,0,0,0,0,1,0,1,0,0,2,0
"hsa-miR-1910-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1910-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1911-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1911-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1912-3p",16,21,13,21,16,7,12,10,4,2,16,17
"hsa-miR-1912-5p",0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1913",0,0,0,0,0,0,1,0,0,1,0,1
"hsa-miR-1914-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1914-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1915-3p",0,0,0,0,1,2,1,0,0,0,0,0
"hsa-miR-1915-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-192-3p",102,84,107,92,261,652,399,242,427,471,158,107
"hsa-miR-192-5p",1,0,0,1,2,1,1,0,0,4,0,0
"hsa-miR-193a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-193a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-193b-3p",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-193b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-194-3p",0,0,1,1,0,0,0,1,0,0,0,0
"hsa-miR-194-5p",32,21,36,36,87,164,82,65,115,107,36,17
"hsa-miR-195-3p",0,0,0,0,0,7,3,1,2,2,0,1
"hsa-miR-195-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196a-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196a-5p",9,2,5,15,11,6,17,10,0,1,1,5
"hsa-miR-196b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-197-3p",19,5,30,16,27,53,35,32,227,314,58,41
"hsa-miR-197-5p",0,1,1,1,1,3,0,0,4,2,0,0
"hsa-miR-1972",0,0,1,0,2,1,1,1,1,0,0,0
"hsa-miR-1976",0,0,0,0,1,0,0,0,0,2,0,0
"hsa-miR-198",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-199a-3p",14,23,23,28,31,52,36,28,89,93,26,15
"hsa-miR-199a-5p",70,68,89,65,93,165,123,80,31,23,82,37
"hsa-miR-199b-3p",0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-199b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19b-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19b-3p",0,0,0,0,2,17,4,1,3,1,1,0
"hsa-miR-200a-3p",1,0,0,0,0,4,1,2,0,0,0,0
"hsa-miR-200a-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-200b-3p",0,0,0,0,1,3,3,1,1,0,0,0
"hsa-miR-200b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-200c-3p",99,117,129,126,101,277,139,125,328,232,127,61
"hsa-miR-200c-5p",5,3,4,4,2,11,5,5,53,57,17,10
"hsa-miR-202-3p",0,0,0,0,1,2,0,0,0,0,0,0
"hsa-miR-202-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-203a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203b-3p",4,2,1,3,9,15,11,5,2,0,7,1
"hsa-miR-203b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-204-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-204-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-205-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-205-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2052",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-2053",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2054",1,1,1,1,0,1,0,0,2,9,0,0
"hsa-miR-206",0,0,0,0,1,2,1,0,1,0,0,0
"hsa-miR-208a-3p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-208b-3p",28,27,73,33,55,75,55,24,488,662,137,82
"hsa-miR-208b-5p",8,8,5,5,8,16,6,8,5,1,1,4
"hsa-miR-20a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20b-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-21-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-21-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-210-3p",3884,3683,5488,4357,4151,2448,1789,1618,1407,757,3417,3406
"hsa-miR-210-5p",34,28,30,38,57,17,18,14,2,1,5,4
"hsa-miR-211-3p",0,0,0,0,0,1,0,0,1,0,0,0
"hsa-miR-211-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2110",82,64,115,80,270,605,339,250,363,358,125,88
"hsa-miR-2113",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2114-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2114-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2115-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2115-5p",0,0,0,1,0,1,0,1,3,1,1,1
"hsa-miR-2116-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2116-5p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-2117",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-212-3p",1,0,0,0,1,1,0,2,0,0,1,0
"hsa-miR-212-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-214-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-214-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-215-3p",0,0,0,1,0,0,0,0,2,5,0,0
"hsa-miR-215-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-216a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-216a-5p",0,1,0,0,0,0,0,1,0,0,0,0
"hsa-miR-216b-3p",0,0,0,0,0,1,0,0,5,11,5,0
"hsa-miR-216b-5p",1,1,0,0,2,1,2,1,9,9,5,0
"hsa-miR-217-3p",17,14,20,18,91,190,123,59,68,69,20,10
"hsa-miR-217-5p",34,26,48,38,59,78,63,45,108,129,32,29
"hsa-miR-218-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-218-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-218-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-219a-1-3p",0,1,0,1,1,0,0,0,0,0,1,0
"hsa-miR-219a-2-3p",2,3,3,2,7,22,10,4,16,21,6,2
"hsa-miR-219a-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-219b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-219b-5p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-22-3p",0,0,0,0,0,0,2,2,4,2,0,2
"hsa-miR-22-5p",0,0,1,0,0,0,0,0,1,0,1,0
"hsa-miR-221-3p",16,8,22,15,25,42,28,15,96,115,30,31
"hsa-miR-221-5p",207,165,308,209,405,665,434,257,1759,1968,720,573
"hsa-miR-222-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-222-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-223-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-223-5p",0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-224-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-224-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2276-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-2276-5p",0,0,0,0,0,2,1,1,0,0,0,0
"hsa-miR-2277-3p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-2277-5p",0,1,1,0,0,0,0,0,0,0,0,0
"hsa-miR-2278",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2355-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2355-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-2392",0,0,0,0,0,0,0,0,2,1,0,1
"hsa-miR-23a-3p",11,17,21,12,32,73,60,45,26,51,9,9
"hsa-miR-23a-5p",5,8,9,8,12,22,11,9,24,14,9,7
"hsa-miR-23b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-23b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-23c",23,19,42,31,29,49,39,21,215,272,74,43
"hsa-miR-24-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-24-2-5p",4,6,3,7,14,29,15,1,5,2,1,2
"hsa-miR-24-3p",98,65,92,81,294,660,390,269,272,287,99,72
"hsa-miR-2467-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2467-5p",0,0,0,0,0,0,0,0,0,0,3,0
"hsa-miR-25-3p",14,17,16,14,90,110,73,43,28,27,8,11
"hsa-miR-25-5p",82,58,98,83,177,256,180,106,165,205,53,50
"hsa-miR-2681-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2681-5p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-2682-3p",0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-2682-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-26a-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26a-2-3p",0,0,2,0,9,22,5,3,6,0,0,0
"hsa-miR-26a-5p",0,1,1,0,1,2,0,0,9,2,3,1
"hsa-miR-26b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-27a-3p",3,4,4,4,6,17,12,6,35,37,12,6
"hsa-miR-27a-5p",1,2,0,3,1,3,0,2,1,0,0,0
"hsa-miR-27b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-27b-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-28-3p",0,0,0,0,0,0,1,0,1,4,0,0
"hsa-miR-28-5p",1,0,0,1,1,0,0,0,2,6,0,1
"hsa-miR-2861",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-2909",0,0,0,0,0,1,1,0,0,0,0,1
"hsa-miR-296-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-296-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-297",0,0,1,0,0,0,1,0,0,3,0,0
"hsa-miR-298",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-299-3p",0,0,0,1,1,2,0,0,1,0,0,0
"hsa-miR-299-5p",1,0,2,1,2,2,0,2,2,0,0,2
"hsa-miR-29a-3p",5,7,9,7,20,40,29,21,32,30,9,9
"hsa-miR-29a-5p",4,2,14,6,9,11,11,12,16,33,12,2
"hsa-miR-29b-1-5p",164,135,267,178,337,539,318,190,931,1108,394,289
"hsa-miR-29b-2-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29b-3p",27,23,39,28,70,85,67,40,69,58,24,18
"hsa-miR-29c-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29c-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-300",0,1,0,0,0,1,0,0,0,0,0,0
"hsa-miR-301a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-301a-5p",25,23,32,27,93,107,63,41,38,35,25,14
"hsa-miR-301b-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-301b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302a-5p",0,0,0,0,1,0,2,2,0,0,0,0
"hsa-miR-302b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302c-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302c-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302d-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302d-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302e",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302f",23,15,22,20,58,130,84,46,69,73,38,24
"hsa-miR-3059-3p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-3059-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3064-3p",0,0,0,1,0,0,0,0,10,9,2,0
"hsa-miR-3064-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3065-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3065-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3074-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3074-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3085-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-3085-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-30a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30a-5p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-30b-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-30b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30c-1-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-30c-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30c-5p",0,0,0,0,1,1,1,0,1,0,0,0
"hsa-miR-30d-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30d-5p",1,0,1,0,1,1,1,0,4,0,0,0
"hsa-miR-30e-3p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-30e-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-31-3p",8,9,4,10,4,2,1,1,1,0,0,1
"hsa-miR-31-5p",552,555,858,569,205,302,217,144,100,65,124,178
"hsa-miR-3115",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-3116",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3117-3p",1,2,0,0,7,33,22,7,1,3,0,0
"hsa-miR-3117-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3118",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3119",1,0,1,0,0,0,0,0,0,1,0,0
"hsa-miR-3120-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3120-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3121-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3121-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3122",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3123",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3124-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-3124-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3125",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-3126-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3126-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-3127-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3127-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3128",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3129-3p",0,0,0,0,0,0,0,0,0,0,0,3
"hsa-miR-3129-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3130-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3130-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3131",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-3132",200,216,311,231,333,510,270,193,647,646,216,118
"hsa-miR-3133",0,1,1,0,4,3,1,0,1,1,0,0
"hsa-miR-3134",3,2,2,5,1,1,3,0,4,3,0,4
"hsa-miR-3135a",0,0,0,0,2,4,0,0,2,0,0,0
"hsa-miR-3135b",2,0,8,5,5,7,3,2,27,39,18,6
"hsa-miR-3136-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3136-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-3137",11,10,11,9,65,98,42,27,6,4,5,8
"hsa-miR-3138",0,0,0,0,2,0,0,0,0,0,0,0
"hsa-miR-3139",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-3140-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3140-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3141",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3142",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3143",0,0,0,0,0,0,0,0,3,3,2,0
"hsa-miR-3144-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3144-5p",2,0,2,0,0,0,0,0,0,1,0,0
"hsa-miR-3145-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3145-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-3146",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3147",0,0,8,1,3,6,0,1,3,13,9,1
"hsa-miR-3148",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3149",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3150a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3150a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3150b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3150b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3151-3p",0,0,0,0,0,0,1,1,0,0,0,0
"hsa-miR-3151-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3152-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3152-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3153",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3154",1,0,0,0,0,3,0,0,0,0,0,0
"hsa-miR-3155a",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3155b",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-3156-3p",0,0,0,0,0,0,0,1,0,5,0,0
"hsa-miR-3156-5p",0,1,1,0,2,0,0,0,6,6,6,1
"hsa-miR-3157-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3157-5p",1,5,2,4,5,3,1,2,3,1,1,1
"hsa-miR-3158-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3158-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3159",0,0,0,0,1,0,1,0,0,0,0,0
"hsa-miR-3160-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3160-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3161",44,25,48,50,87,138,106,68,179,243,48,58
"hsa-miR-3162-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3162-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3163",9,14,23,19,36,60,50,26,64,77,37,20
"hsa-miR-3164",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3165",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3166",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3167",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3168",20,16,23,27,77,105,89,43,162,148,50,27
"hsa-miR-3169",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-3170",0,0,0,0,1,2,0,0,0,1,0,0
"hsa-miR-3171",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3173-3p",32,39,89,62,48,129,71,40,358,502,98,84
"hsa-miR-3173-5p",29,26,40,30,110,121,68,42,24,22,12,15
"hsa-miR-3174",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3175",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3176",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3177-3p",0,1,1,3,1,5,1,1,1,5,0,3
"hsa-miR-3177-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3178",0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-3179",133,126,212,154,338,499,375,184,953,1149,401,290
"hsa-miR-3180",0,0,0,0,2,0,1,0,0,3,0,0
"hsa-miR-3180-3p",56,51,67,63,188,250,156,98,431,513,109,78
"hsa-miR-3180-5p",90,88,133,124,189,333,209,103,606,690,238,167
"hsa-miR-3181",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3182",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-3183",0,0,0,0,1,4,2,0,3,6,0,0
"hsa-miR-3184-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3184-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3185",183,133,255,163,364,633,399,220,995,1179,452,372
"hsa-miR-3186-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3186-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3187-3p",6,16,11,8,25,32,30,22,4,8,19,14
"hsa-miR-3187-5p",1,0,1,1,4,3,5,1,0,0,1,0
"hsa-miR-3188",12,12,9,11,32,32,23,13,33,52,7,7
"hsa-miR-3189-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3189-5p",0,0,0,0,1,2,1,1,1,0,0,0
"hsa-miR-3190-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3190-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3191-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3191-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3192-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3192-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-3193",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3194-3p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-3194-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3195",2,0,6,5,33,63,24,11,4,8,0,6
"hsa-miR-3196",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3197",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3198",55,57,58,58,187,247,150,74,141,203,46,35
"hsa-miR-3199",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-32-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-32-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3200-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3200-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3201",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3202",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-320a-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-320a-5p",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-320b",0,0,0,0,0,0,0,2,2,0,0,0
"hsa-miR-320c",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-320d",0,0,0,0,0,1,1,0,0,1,0,0
"hsa-miR-320e",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-323a-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-323a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-323b-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-323b-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-324-3p",28,35,35,35,129,157,112,59,28,25,20,13
"hsa-miR-324-5p",46,38,30,37,67,111,95,44,92,83,24,27
"hsa-miR-325",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-326",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-328-3p",0,1,1,0,0,0,0,0,0,1,0,0
"hsa-miR-328-5p",0,3,3,4,1,4,2,2,35,19,9,1
"hsa-miR-329-3p",0,0,0,0,1,6,3,2,3,0,0,0
"hsa-miR-329-5p",0,0,1,0,0,0,0,0,0,0,0,1
"hsa-miR-330-3p",0,0,0,0,0,0,1,0,0,0,1,0
"hsa-miR-330-5p",100,114,144,134,102,282,125,123,432,324,151,69
"hsa-miR-331-3p",1,2,4,3,10,7,8,4,5,8,1,2
"hsa-miR-331-5p",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-335-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-335-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-337-3p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-337-5p",0,0,0,0,0,3,0,0,0,1,0,0
"hsa-miR-338-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-338-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-339-3p",0,0,0,0,0,1,2,0,2,0,0,0
"hsa-miR-339-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-33a-3p",0,0,3,0,8,4,2,2,5,5,3,1
"hsa-miR-33a-5p",9,17,17,11,15,17,17,9,132,148,35,15
"hsa-miR-33b-3p",0,0,6,0,1,2,0,0,0,4,2,0
"hsa-miR-33b-5p",0,0,2,0,0,0,0,0,0,2,0,0
"hsa-miR-340-3p",0,0,0,0,0,0,0,0,0,0,0,0
