"","SRR11548461.count","SRR11548462.count","SRR11548463.count","SRR11548464.count"
"hsa-miR-1226-3p",4028.22017165197,5155.08535705699,2735.83670431601,3467.28812595919
"hsa-miR-1226-5p",837.326664893948,500.120221207021,799.388054661604,727.562098561928
"hsa-miR-1227-3p",11.3152252012696,0,0,0
"hsa-miR-1227-5p",0,0,0,0
"hsa-miR-1228-3p",401.69049464507,423.178648713633,351.455092997774,341.044733700904
"hsa-miR-1228-5p",497.869908855861,394.325559028613,434.15040899725,363.781049280964
"hsa-miR-1229-3p",0,0,0,0
"hsa-miR-1229-5p",0,0,6.89127633328969,0
"hsa-miR-122b-3p",0,0,0,0
"hsa-miR-122b-5p",0,0,0,0
"hsa-miR-1231",1074.94639412061,1038.71122866074,1302.45122699175,1239.12919911328
"hsa-miR-1233-3p",1725.57184319361,1885.068526088,1867.53588632151,1671.11919513443
"hsa-miR-1233-5p",1165.46819573077,1067.56431834576,1474.73313532399,2478.25839822657
"hsa-miR-1234-3p",0,0,0,0
"hsa-miR-1236-3p",62.2337386069826,557.826400577062,482.389343330278,431.989996021145
"hsa-miR-1236-5p",0,0,0,0
"hsa-miR-1237-3p",0,0,0,0
"hsa-miR-1237-5p",0,0,0,0
"hsa-miR-1238-3p",56.5761260063478,115.412358740082,144.716802999083,147.786051270392
"hsa-miR-1238-5p",50.9185134057131,48.0884828083674,89.5865923327659,159.154209060422
"hsa-miR-124-3p",5.65761260063478,9.61769656167348,20.6738289998691,22.7363155800602
"hsa-miR-124-5p",8639.17444116931,4866.55446020678,11915.0167802579,6775.42204285795
"hsa-miR-1243",0,0,0,0
"hsa-miR-1244",0,0,0,0
"hsa-miR-1245a",0,0,0,0
"hsa-miR-1245b-3p",0,0,0,11.3681577900301
"hsa-miR-1245b-5p",0,0,0,0
"hsa-miR-1246",0,0,6.89127633328969,0
"hsa-miR-1247-3p",0,0,0,0
"hsa-miR-1247-5p",0,0,0,0
"hsa-miR-1248",0,0,0,0
"hsa-miR-1249-3p",0,0,0,0
"hsa-miR-1249-5p",0,0,0,0
"hsa-miR-1250-3p",0,0,6.89127633328969,0
"hsa-miR-1250-5p",0,0,0,0
"hsa-miR-1251-3p",0,0,0,0
"hsa-miR-1251-5p",0,0,0,0
"hsa-miR-1252-3p",0,0,0,0
"hsa-miR-1252-5p",0,0,0,0
"hsa-miR-1253",0,19.235393123347,0,11.3681577900301
"hsa-miR-1255a",0,0,0,22.7363155800602
"hsa-miR-1255b-2-3p",0,0,0,0
"hsa-miR-1255b-5p",0,0,0,0
"hsa-miR-1256",5.65761260063478,0,0,0
"hsa-miR-1257",0,0,0,0
"hsa-miR-1258",1052.31594371807,875.210387112287,1764.16674132216,2489.6265560166
"hsa-miR-125a-3p",11.3152252012696,19.235393123347,68.9127633328969,22.7363155800602
"hsa-miR-125a-5p",4362.01931508942,5232.02692955037,4155.43962897368,5638.60626385494
"hsa-miR-125b-1-3p",0,0,0,0
"hsa-miR-125b-2-3p",0,0,0,0
"hsa-miR-125b-5p",0,9.61769656167348,6.89127633328969,0
"hsa-miR-126-3p",0,0,0,0
"hsa-miR-126-5p",0,0,0,0
"hsa-miR-1260a",33.9456756038087,57.7061793700409,48.2389343330278,45.4726311601205
"hsa-miR-1260b",0,0,0,0
"hsa-miR-1261",5.65761260063478,9.61769656167348,6.89127633328969,0
"hsa-miR-1262",0,0,0,0
"hsa-miR-1263",0,0,0,0
"hsa-miR-1264",0,0,0,0
"hsa-miR-1265",33.9456756038087,19.235393123347,20.6738289998691,34.1044733700904
"hsa-miR-1266-3p",0,0,0,0
"hsa-miR-1266-5p",0,19.235393123347,6.89127633328969,34.1044733700904
"hsa-miR-1267",5.65761260063478,0,0,11.3681577900301
"hsa-miR-1268a",0,0,0,0
"hsa-miR-1268b",0,0,0,0
"hsa-miR-1269a",0,0,0,0
"hsa-miR-1269b",5.65761260063478,0,0,0
"hsa-miR-127-3p",0,0,0,0
"hsa-miR-127-5p",0,0,0,0
"hsa-miR-1270",5.65761260063478,0,0,0
"hsa-miR-1271-3p",0,0,0,0
"hsa-miR-1271-5p",0,0,0,0
"hsa-miR-1272",837.326664893948,538.591007453715,640.888698995941,954.92525436253
"hsa-miR-1273c",446.951395450148,596.297186823756,957.887410327267,704.825782981868
"hsa-miR-1273h-3p",0,0,6.89127633328969,0
"hsa-miR-1273h-5p",0,0,13.7825526665794,11.3681577900301
"hsa-miR-1275",0,0,0,0
"hsa-miR-1276",0,0,0,0
"hsa-miR-1277-3p",0,0,0,0
"hsa-miR-1277-5p",0,0,0,0
"hsa-miR-1278",0,0,0,0
"hsa-miR-1279",152.755540217139,173.118538110123,227.41211899856,363.781049280964
"hsa-miR-128-1-5p",0,0,0,0
"hsa-miR-128-2-5p",0,0,0,0
"hsa-miR-128-3p",0,0,0,0
"hsa-miR-1281",0,0,0,0
"hsa-miR-1282",0,0,0,0
"hsa-miR-1283",0,0,13.7825526665794,0
"hsa-miR-1284",0,0,0,0
"hsa-miR-1285-3p",1997.13724802408,1644.62611204616,1777.94929398874,1853.00971977491
"hsa-miR-1285-5p",1301.250898146,1788.89156047127,592.649764662913,1386.91525038368
"hsa-miR-1286",0,0,0,0
"hsa-miR-1287-3p",0,0,0,0
"hsa-miR-1287-5p",0,0,0,0
"hsa-miR-1288-3p",0,0,0,0
"hsa-miR-1288-5p",0,0,0,0
"hsa-miR-1289",0,0,0,0
"hsa-miR-129-1-3p",11.3152252012696,0,0,0
"hsa-miR-129-2-3p",0,0,0,11.3681577900301
"hsa-miR-129-5p",854.299502695852,932.916566482328,1281.77739799188,1216.39288353322
"hsa-miR-1290",6800.45034596301,6751.62298629478,5058.19682863463,7343.82993235946
"hsa-miR-1291",11.3152252012696,0,6.89127633328969,34.1044733700904
"hsa-miR-1292-3p",0,0,0,0
"hsa-miR-1292-5p",0,0,0,0
"hsa-miR-1293",0,0,0,0
"hsa-miR-1294",0,0,0,0
"hsa-miR-1295a",0,0,0,0
"hsa-miR-1295b-3p",22.6304504025391,307.766289973551,82.6953159994763,193.258682430512
"hsa-miR-1295b-5p",0,0,0,0
"hsa-miR-1296-3p",0,0,0,0
"hsa-miR-1296-5p",0,0,0,0
"hsa-miR-1297",0,0,0,11.3681577900301
"hsa-miR-1298-3p",0,0,0,0
"hsa-miR-1298-5p",0,9.61769656167348,20.6738289998691,0
"hsa-miR-1299",0,0,0,0
"hsa-miR-1301-3p",0,0,0,0
"hsa-miR-1301-5p",0,0,0,0
"hsa-miR-1302",458.266620651417,634.76797307045,1061.25655532661,773.034729722048
"hsa-miR-1303",0,0,0,0
"hsa-miR-1304-3p",0,0,0,0
"hsa-miR-1304-5p",0,0,6.89127633328969,0
"hsa-miR-1305",0,0,0,0
"hsa-miR-1306-3p",0,0,0,0
"hsa-miR-1306-5p",0,0,0,0
"hsa-miR-1307-3p",0,0,0,0
"hsa-miR-1307-5p",0,0,0,0
"hsa-miR-130a-3p",0,0,0,0
"hsa-miR-130a-5p",0,0,0,0
"hsa-miR-130b-3p",0,0,0,0
"hsa-miR-130b-5p",0,0,0,0
"hsa-miR-132-3p",271.56540483047,86.5592690550613,482.389343330278,136.417893480361
"hsa-miR-132-5p",277.223017431104,211.589324356817,241.194671665139,477.462627181265
"hsa-miR-1321",0,0,0,0
"hsa-miR-1322",0,0,0,0
"hsa-miR-1323",0,0,0,11.3681577900301
"hsa-miR-1324",0,0,0,0
"hsa-miR-133a-3p",11.3152252012696,76.9415724933878,0,34.1044733700904
"hsa-miR-133a-5p",0,0,0,0
"hsa-miR-133b",0,0,34.4563816664484,11.3681577900301
"hsa-miR-134-3p",0,0,0,0
"hsa-miR-134-5p",0,0,0,0
"hsa-miR-1343-3p",0,0,0,0
"hsa-miR-1343-5p",0,0,0,0
"hsa-miR-135a-2-3p",0,0,6.89127633328969,0
"hsa-miR-135a-3p",2472.3767064774,2683.3373407069,2701.38032264956,4797.36258739271
"hsa-miR-135a-5p",2410.14296787042,2779.51430632364,2232.77353198586,2557.83550275678
"hsa-miR-135b-3p",96.1794142107913,76.9415724933878,82.6953159994763,181.890524640482
"hsa-miR-135b-5p",2947.61616493072,2731.42582351527,2680.70649364969,3910.64627977036
"hsa-miR-136-3p",1024.0278807149,769.415724933878,882.08337066108,1068.60683226283
"hsa-miR-136-5p",2913.67048932691,2519.83649915845,2584.22862498363,3137.61155004831
"hsa-miR-137-3p",0,0,0,11.3681577900301
"hsa-miR-137-5p",0,0,0,0
"hsa-miR-138-1-3p",0,0,0,0
"hsa-miR-138-2-3p",0,0,0,0
"hsa-miR-138-5p",0,0,0,0
"hsa-miR-139-3p",0,0,0,0
"hsa-miR-139-5p",0,0,0,0
"hsa-miR-140-3p",16.9728378019044,0,0,0
"hsa-miR-140-5p",0,0,6.89127633328969,0
"hsa-miR-141-3p",0,0,0,0
"hsa-miR-141-5p",0,0,0,11.3681577900301
"hsa-miR-142-3p",0,9.61769656167348,6.89127633328969,0
"hsa-miR-142-5p",0,0,0,11.3681577900301
"hsa-miR-143-3p",0,0,0,0
"hsa-miR-143-5p",0,9.61769656167348,0,0
"hsa-miR-144-3p",0,0,0,0
"hsa-miR-144-5p",0,0,0,0
"hsa-miR-145-3p",0,0,0,0
"hsa-miR-145-5p",0,0,0,11.3681577900301
"hsa-miR-1468-3p",927.848466504105,865.592690550613,372.128921997643,454.726311601205
"hsa-miR-1468-5p",627.994998670461,317.383986535225,234.303395331849,602.512362871597
"hsa-miR-1469",0,0,0,0
"hsa-miR-146a-3p",0,19.235393123347,0,0
"hsa-miR-146a-5p",0,9.61769656167348,0,22.7363155800602
"hsa-miR-146b-3p",0,0,0,0
"hsa-miR-146b-5p",0,0,0,0
"hsa-miR-1470",1063.63116891934,798.268814618899,1584.99355665663,1716.59182629455
"hsa-miR-1471",0,0,0,0
"hsa-miR-147a",0,9.61769656167348,62.0214869996072,0
"hsa-miR-147b-3p",0,0,34.4563816664484,0
"hsa-miR-147b-5p",0,0,0,0
"hsa-miR-148a-3p",2444.08864347423,2106.27554700649,2150.07821598638,2466.89024043654
"hsa-miR-148a-5p",141.44031501587,134.647751863429,303.216158664746,306.940260330813
"hsa-miR-148b-3p",0,0,0,22.7363155800602
"hsa-miR-148b-5p",0,19.235393123347,0,11.3681577900301
"hsa-miR-149-3p",0,0,0,0
"hsa-miR-149-5p",0,0,6.89127633328969,0
"hsa-miR-150-3p",661.94067427427,769.415724933878,847.626988994632,886.71630762235
"hsa-miR-150-5p",690.228737277444,692.474152440491,1267.9948453253,1739.32814187461
"hsa-miR-151a-3p",0,0,0,0
"hsa-miR-151a-5p",0,0,0,0
"hsa-miR-151b",2025.42531102725,2029.3339745131,1805.5143993219,2250.89524242596
"hsa-miR-152-3p",0,0,0,0
"hsa-miR-152-5p",0,0,13.7825526665794,0
"hsa-miR-153-3p",0,0,0,0
"hsa-miR-153-5p",0,0,20.6738289998691,0
"hsa-miR-1537-3p",0,0,0,0
"hsa-miR-1537-5p",0,0,0,0
"hsa-miR-1538",0,19.235393123347,27.5651053331588,11.3681577900301
"hsa-miR-1539",0,0,0,0
"hsa-miR-154-3p",16.9728378019044,19.235393123347,20.6738289998691,56.8407889501506
"hsa-miR-154-5p",282.880630031739,519.355614330368,75.8040396661866,193.258682430512
"hsa-miR-155-3p",0,0,0,0
"hsa-miR-155-5p",0,0,0,0
"hsa-miR-1587",0,0,0,0
"hsa-miR-15a-3p",22.6304504025391,0,0,0
"hsa-miR-15a-5p",0,0,0,0
"hsa-miR-15b-3p",0,0,0,11.3681577900301
"hsa-miR-15b-5p",0,0,20.6738289998691,0
"hsa-miR-16-1-3p",5.65761260063478,115.412358740082,6.89127633328969,11.3681577900301
"hsa-miR-16-2-3p",0,0,0,0
"hsa-miR-16-5p",0,0,0,0
"hsa-miR-17-3p",5.65761260063478,0,0,0
"hsa-miR-17-5p",0,9.61769656167348,0,11.3681577900301
"hsa-miR-181a-2-3p",0,19.235393123347,0,0
"hsa-miR-181a-3p",5.65761260063478,9.61769656167348,0,22.7363155800602
"hsa-miR-181a-5p",0,0,0,0
"hsa-miR-181b-2-3p",927.848466504105,654.003366193797,1040.58272632674,943.5570965725
"hsa-miR-181b-3p",0,0,0,0
"hsa-miR-181b-5p",28.2880630031739,0,13.7825526665794,0
"hsa-miR-181c-3p",514.842746657765,346.237076220245,482.389343330278,500.198942761325
"hsa-miR-181c-5p",11202.0729492569,13609.040634768,5685.30297496399,9594.72517478543
"hsa-miR-181d-3p",0,0,0,0
"hsa-miR-181d-5p",0,0,0,0
"hsa-miR-182-3p",0,0,0,0
"hsa-miR-182-5p",0,0,0,0
"hsa-miR-1825",0,0,0,0
"hsa-miR-1827",0,0,0,0
"hsa-miR-183-3p",1691.6261675898,1192.59437364751,530.628277663306,2364.57682032627
"hsa-miR-183-5p",5.65761260063478,0,0,0
"hsa-miR-184",956.136529507279,1115.65280115412,1137.0605949928,1170.9202523731
"hsa-miR-1843",5.65761260063478,9.61769656167348,0,0
"hsa-miR-185-3p",492.212296255226,317.383986535225,558.193382996465,363.781049280964
"hsa-miR-185-5p",96.1794142107913,86.5592690550613,482.389343330278,147.786051270392
"hsa-miR-186-3p",0,0,0,0
"hsa-miR-186-5p",0,9.61769656167348,6.89127633328969,0
"hsa-miR-187-3p",0,0,0,0
"hsa-miR-187-5p",0,0,0,0
"hsa-miR-188-3p",0,0,0,0
"hsa-miR-188-5p",0,0,0,0
"hsa-miR-18a-3p",0,0,0,0
"hsa-miR-18a-5p",0,0,0,0
"hsa-miR-18b-3p",0,0,0,0
"hsa-miR-18b-5p",0,0,0,0
"hsa-miR-1908-3p",0,0,0,0
"hsa-miR-1908-5p",0,0,0,0
"hsa-miR-1909-3p",0,0,0,0
"hsa-miR-1909-5p",5.65761260063478,0,27.5651053331588,0
"hsa-miR-190a-3p",0,0,0,0
"hsa-miR-190a-5p",0,0,0,0
"hsa-miR-190b-3p",0,0,0,0
"hsa-miR-190b-5p",0,0,0,0
"hsa-miR-191-3p",0,0,13.7825526665794,11.3681577900301
"hsa-miR-191-5p",0,0,0,11.3681577900301
"hsa-miR-1910-3p",0,0,0,0
"hsa-miR-1910-5p",0,0,0,0
"hsa-miR-1911-3p",0,0,0,0
"hsa-miR-1911-5p",0,9.61769656167348,0,0
"hsa-miR-1912-3p",107.494639412061,9.61769656167348,227.41211899856,79.5771045302109
"hsa-miR-1912-5p",0,0,0,0
"hsa-miR-1913",0,28.8530896850204,0,0
"hsa-miR-1914-3p",0,0,0,0
"hsa-miR-1914-5p",0,0,0,0
"hsa-miR-1915-3p",0,0,0,0
"hsa-miR-1915-5p",0,0,0,0
"hsa-miR-192-3p",11083.2630846435,14618.8987737437,4775.65449896975,7946.34229523106
"hsa-miR-192-5p",5.65761260063478,0,0,22.7363155800602
"hsa-miR-193a-3p",0,0,0,0
"hsa-miR-193a-5p",0,0,0,0
"hsa-miR-193b-3p",0,0,0,0
"hsa-miR-193b-5p",0,0,0,0
"hsa-miR-194-3p",0,76.9415724933878,62.0214869996072,22.7363155800602
"hsa-miR-194-5p",984.424592510452,1163.74128396249,1516.08079332373,1830.27340419485
"hsa-miR-195-3p",0,19.235393123347,6.89127633328969,68.2089467401807
"hsa-miR-195-5p",0,0,0,0
"hsa-miR-196a-1-3p",0,0,0,0
"hsa-miR-196a-3p",0,9.61769656167348,34.4563816664484,11.3681577900301
"hsa-miR-196a-5p",0,0,6.89127633328969,0
"hsa-miR-196b-3p",0,0,0,0
"hsa-miR-196b-5p",0,0,0,0
"hsa-miR-197-3p",899.560403500931,663.62106275547,613.323593662782,1023.13420110271
"hsa-miR-197-5p",5.65761260063478,0,0,0
"hsa-miR-1972",5.65761260063478,0,13.7825526665794,11.3681577900301
"hsa-miR-1976",0,0,0,0
"hsa-miR-198",0,0,6.89127633328969,0
"hsa-miR-199a-3p",509.185134057131,548.208704015388,461.715514330409,863.979992042289
"hsa-miR-199a-5p",118.80986461333,134.647751863429,503.063172330147,193.258682430512
"hsa-miR-199b-3p",0,0,0,0
"hsa-miR-199b-5p",0,0,0,0
"hsa-miR-19a-3p",0,0,0,0
"hsa-miR-19a-5p",5.65761260063478,38.4707862466939,27.5651053331588,11.3681577900301
"hsa-miR-19b-1-5p",0,0,0,11.3681577900301
"hsa-miR-19b-2-5p",0,0,0,0
"hsa-miR-19b-3p",0,0,0,0
"hsa-miR-200a-3p",0,0,0,0
"hsa-miR-200a-5p",0,0,0,0
"hsa-miR-200b-3p",5.65761260063478,28.8530896850204,41.3476579997381,34.1044733700904
"hsa-miR-200b-5p",0,0,13.7825526665794,0
"hsa-miR-200c-3p",842.984277494583,682.856455878817,289.433605998167,1864.37787756494
"hsa-miR-200c-5p",79.206576408887,28.8530896850204,20.6738289998691,45.4726311601205
"hsa-miR-202-3p",0,0,6.89127633328969,0
"hsa-miR-202-5p",0,0,0,0
"hsa-miR-203a-3p",0,9.61769656167348,6.89127633328969,0
"hsa-miR-203a-5p",0,0,0,0
"hsa-miR-203b-3p",45.2609008050783,86.5592690550613,137.825526665794,45.4726311601205
"hsa-miR-203b-5p",0,0,0,0
"hsa-miR-204-3p",0,0,0,0
"hsa-miR-204-5p",0,0,0,0
"hsa-miR-205-3p",0,0,6.89127633328969,0
"hsa-miR-205-5p",0,0,0,0
"hsa-miR-2052",0,0,0,0
"hsa-miR-2053",0,9.61769656167348,0,0
"hsa-miR-2054",0,0,0,0
"hsa-miR-206",0,9.61769656167348,0,0
"hsa-miR-208a-3p",0,0,0,0
"hsa-miR-208a-5p",0,0,0,0
"hsa-miR-208b-3p",1137.18013272759,904.063476797307,799.388054661604,1591.54209060422
"hsa-miR-208b-5p",33.9456756038087,19.235393123347,68.9127633328969,125.049735690331
"hsa-miR-20a-3p",0,0,0,0
"hsa-miR-20a-5p",0,0,6.89127633328969,0
"hsa-miR-20b-3p",0,0,0,0
"hsa-miR-20b-5p",0,0,0,0
"hsa-miR-21-3p",50.9185134057131,596.297186823756,199.847013665401,193.258682430512
"hsa-miR-21-5p",0,28.8530896850204,27.5651053331588,90.945262320241
"hsa-miR-210-3p",3609.55683920499,1894.68622264968,3996.94027330802,1523.33314386404
"hsa-miR-210-5p",33.9456756038087,19.235393123347,48.2389343330278,11.3681577900301
"hsa-miR-211-3p",0,0,0,0
"hsa-miR-211-5p",0,0,0,0
"hsa-miR-2110",3004.19229093707,3991.34407309449,3390.50795597853,4751.88995623259
"hsa-miR-2113",0,0,0,0
"hsa-miR-2114-3p",0,0,0,11.3681577900301
"hsa-miR-2114-5p",22.6304504025391,105.794662178408,137.825526665794,272.835786960723
"hsa-miR-2115-3p",0,0,0,0
"hsa-miR-2115-5p",0,0,0,22.7363155800602
"hsa-miR-2116-3p",5.65761260063478,19.235393123347,6.89127633328969,0
"hsa-miR-2116-5p",5.65761260063478,0,0,11.3681577900301
"hsa-miR-2117",0,0,0,0
"hsa-miR-212-3p",5.65761260063478,0,0,0
"hsa-miR-212-5p",5.65761260063478,57.7061793700409,41.3476579997381,56.8407889501506
"hsa-miR-214-3p",0,0,0,0
"hsa-miR-214-5p",0,0,0,0
"hsa-miR-215-3p",0,9.61769656167348,0,0
"hsa-miR-215-5p",0,0,0,0
"hsa-miR-216a-3p",0,0,0,0
"hsa-miR-216a-5p",0,0,0,0
"hsa-miR-216b-3p",22.6304504025391,67.3238759317144,68.9127633328969,102.313420110271
"hsa-miR-216b-5p",135.782702415235,153.883144986776,241.194671665139,329.676575910874
"hsa-miR-217-3p",588.391710466018,596.297186823756,1088.82166065977,1250.49735690331
"hsa-miR-217-5p",537.473197060305,817.504207742246,1192.19080565912,761.666571932018
"hsa-miR-218-1-3p",0,0,6.89127633328969,0
"hsa-miR-218-2-3p",0,0,0,0
"hsa-miR-218-5p",0,9.61769656167348,0,0
"hsa-miR-219a-1-3p",0,0,6.89127633328969,0
"hsa-miR-219a-2-3p",16.9728378019044,28.8530896850204,41.3476579997381,34.1044733700904
"hsa-miR-219a-5p",0,0,0,0
"hsa-miR-219b-3p",0,0,0,0
"hsa-miR-219b-5p",0,0,0,0
"hsa-miR-22-3p",0,0,0,0
"hsa-miR-22-5p",0,0,0,0
"hsa-miR-221-3p",362.087206440626,240.442414041837,227.41211899856,409.253680441084
"hsa-miR-221-5p",13402.8842509038,16677.0858379418,6946.40654395601,10549.650429148
"hsa-miR-222-3p",0,0,0,0
"hsa-miR-222-5p",0,0,0,0
"hsa-miR-223-3p",5.65761260063478,0,0,0
"hsa-miR-223-5p",0,0,0,0
"hsa-miR-224-3p",0,0,0,0
"hsa-miR-224-5p",0,0,0,0
"hsa-miR-2276-3p",0,0,0,0
"hsa-miR-2276-5p",0,0,6.89127633328969,0
"hsa-miR-2277-3p",0,0,0,0
