"","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"hsa-miR-103a-2-5p",571.923460300342,837.251239775874,411.8373830676,233.781414377557,1041.08828428651,393.688864661882,538.50296176629,1515.66183900303,883.218842001963
"hsa-miR-103a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-103b",0,0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-105-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10522-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10523-5p",32.6813405885909,0,29.4169559334,0,69.4058856191005,0,0,0,0
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,116.890707188778,0,0,0,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,0,0,0,0,0,48.9548147060263,0,0
"hsa-miR-106a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-106a-5p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-107",196.088043531546,515.231532169769,29.4169559334,526.008182349503,555.247084952804,787.377729323764,587.457776472316,252.610306500505,343.473994111874
"hsa-miR-10a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-11181-3p",16.3406702942955,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,0,0
"hsa-miR-11400",0,0,0,0,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",882.396195891955,2447.3497778064,2647.526034006,2396.25949736996,3678.51193781233,1726.17425274825,3035.19851177363,3536.54429100707,2600.58881256133
"hsa-miR-1178-5p",1339.93496413223,1030.46306433954,1470.84779667,4091.17475160725,3192.67073847862,1483.90418218709,3377.88221471582,2947.12024250589,2158.97939156035
"hsa-miR-1179",0,0,0,0,0,0,0,0,0
"hsa-miR-1180-3p",98.0440217657728,257.615766084884,294.169559334,292.226767971946,69.4058856191005,242.270070561158,48.9548147060263,84.2034355001684,98.135426889107
"hsa-miR-1180-5p",0,0,0,0,69.4058856191005,0,0,84.2034355001684,0
"hsa-miR-1181",0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1185-2-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1185-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1193",0,0,0,0,0,0,0,0,0
"hsa-miR-1197",0,0,0,0,0,0,0,0,0
"hsa-miR-1199-3p",0,0,29.4169559334,0,0,0,0,0,0
"hsa-miR-1199-5p",0,0,0,0,138.811771238201,90.8512764604343,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0
"hsa-miR-1203",0,0,88.2508678002,0,0,0,0,0,0
"hsa-miR-1204",32.6813405885909,64.4039415212211,88.2508678002,58.4453535943892,208.217656857302,30.2837588201448,0,84.2034355001684,147.20314033366
"hsa-miR-1205",147.066032648659,515.231532169769,117.6678237336,292.226767971946,138.811771238201,60.5675176402895,146.864444118079,84.2034355001684,441.609421000981
"hsa-miR-1206",0,0,0,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,58.4453535943892,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0
"hsa-miR-12113",0,0,0,0,0,0,0,0,0
"hsa-miR-12114",0,0,0,0,0,0,0,0,0
"hsa-miR-12115",3496.90344297923,4572.6798480067,4294.8755662764,8123.90414962011,5274.84730705164,4966.53644650374,5531.89406178098,4968.00269450994,5152.10991167812
"hsa-miR-12116",0,0,0,0,0,0,0,0,0
"hsa-miR-12117",16.3406702942955,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-12118",0,0,0,0,0,0,0,0,0
"hsa-miR-12119",294.132065297318,708.443356733432,353.0034712008,116.890707188778,347.029428095503,1302.20162926622,97.9096294120527,589.424048501179,392.541707556428
"hsa-miR-12120",0,0,29.4169559334,0,69.4058856191005,0,0,0,0
"hsa-miR-12121",0,0,0,0,0,0,0,0,0
"hsa-miR-12122",7451.34565419873,3413.40890062472,3088.780373007,3798.9479836353,4650.19433647973,9297.11395778444,3965.33999118813,3283.93398450657,4416.09421000981
"hsa-miR-12123",0,0,0,0,0,0,0,0,0
"hsa-miR-12124",32.6813405885909,0,0,116.890707188778,69.4058856191005,30.2837588201448,0,0,0
"hsa-miR-12125",310.472735591614,579.63547369099,382.4204271342,876.680303915839,485.841199333704,484.540141122316,1077.00592353258,1263.05153250253,294.406280667321
"hsa-miR-12126",0,0,0,58.4453535943892,0,0,0,0,0
"hsa-miR-12127",0,0,0,0,0,0,48.9548147060263,0,49.0677134445535
"hsa-miR-12128",0,64.4039415212211,0,0,0,0,0,0,0
"hsa-miR-12129",1536.02300766377,2962.58130997617,3794.7873154086,2571.59555815313,3470.29428095502,3149.51091729505,3084.15332647966,3031.32367800606,1668.30225711482
"hsa-miR-12130",0,0,0,0,0,0,0,0,0
"hsa-miR-12131",0,0,0,0,0,0,0,0,0
"hsa-miR-12132",0,0,0,0,0,0,0,0,0
"hsa-miR-12133",0,0,0,0,0,0,0,0,0
"hsa-miR-12135",0,0,0,0,0,0,0,0,0
"hsa-miR-12136",0,0,0,0,0,0,0,0,0
"hsa-miR-122-3p",0,0,29.4169559334,0,0,0,0,0,0
"hsa-miR-122-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1225-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1226-3p",1405.29764530941,2447.3497778064,1765.017356004,2630.04091174752,3053.85896724042,1998.72808212955,2643.55999412542,4041.76490400808,3729.14622178606
"hsa-miR-1226-5p",2810.59529061882,3091.38919301861,2618.1090780726,6545.8796025716,4511.38256524153,3694.61857605766,4846.52665589661,3789.15459750758,4121.68792934249
"hsa-miR-1227-3p",65.3626811771819,128.807883042442,58.8339118668,0,0,30.2837588201448,0,168.406871000337,0
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1228-3p",359.4947464745,386.423649127327,676.5899864682,467.562828755114,555.247084952804,363.405105841737,293.728888236158,673.627484001347,490.677134445535
"hsa-miR-1228-5p",2549.14456591009,2769.36948541251,2706.3599458728,6370.54354178843,4025.54136590783,2755.82205263317,3769.52073236403,4799.5958235096,2993.13052011776
"hsa-miR-1229-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-122b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-122b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1231",555.582790006046,1030.46306433954,1235.5121492028,1402.68848626534,1804.55302609661,999.364041064777,1664.4637000049,1936.67901650387,1570.16683022571
"hsa-miR-1233-3p",1062.14356912921,2382.94583628518,3324.1160204742,2980.71303331385,2429.20599666852,1786.74177038854,2692.51480883145,3368.13742000674,2551.52109911678
"hsa-miR-1233-5p",1209.20960177786,2962.58130997617,2265.1056068718,1694.91525423729,2568.01776790672,1453.62042336695,2447.74073530132,3368.13742000674,3532.87536800785
"hsa-miR-1234-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1236-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1236-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1237-3p",0,0,0,0,69.4058856191005,0,0,0,0
"hsa-miR-1237-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1238-3p",179.74737323725,64.4039415212211,147.084779667,233.781414377557,69.4058856191005,363.405105841737,146.864444118079,0,49.0677134445535
"hsa-miR-1238-5p",98.0440217657728,322.019707606105,58.8339118668,116.890707188778,69.4058856191005,90.8512764604343,0,252.610306500505,0
"hsa-miR-124-3p",16.3406702942955,64.4039415212211,0,292.226767971946,0,30.2837588201448,48.9548147060263,0,0
"hsa-miR-124-5p",4836.83840711146,10691.0542925227,4383.1264340766,3448.27586206897,2637.42365352582,6722.99445807214,5433.98443236892,3199.7305490064,3336.60451422964
"hsa-miR-1243",0,0,0,0,0,0,0,0,0
"hsa-miR-1244",32.6813405885909,0,0,0,0,0,0,0,0
"hsa-miR-1245a",0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1246",0,0,0,0,0,0,0,0,0
"hsa-miR-1247-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1247-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1248",0,0,0,0,0,0,0,0,0
"hsa-miR-1249-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1249-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1250-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1251-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1252-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1252-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1253",0,0,117.6678237336,0,0,0,0,0,0
"hsa-miR-1255a",0,0,0,0,0,0,0,0,0
"hsa-miR-1255b-2-3p",0,0,0,0,0,0,0,0,49.0677134445535
"hsa-miR-1255b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1256",0,0,0,0,0,0,0,0,0
"hsa-miR-1257",0,0,0,0,0,0,0,0,0
"hsa-miR-1258",1045.80289883491,2704.96554389129,1735.6004000706,1753.36060783168,1943.36479733481,1514.18794100724,2839.37925294953,3199.7305490064,3091.26594700687
"hsa-miR-125a-3p",16.3406702942955,64.4039415212211,0,58.4453535943892,0,90.8512764604343,48.9548147060263,0,98.135426889107
"hsa-miR-125a-5p",1617.72635913525,3671.0246667096,3088.780373007,3214.49444769141,2706.82953914492,2331.84942915115,3867.43036177608,4462.78208150893,4268.89106967615
"hsa-miR-125b-1-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-125b-2-3p",16.3406702942955,0,88.2508678002,0,0,0,0,0,0
"hsa-miR-125b-5p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-126-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-126-5p",0,64.4039415212211,0,0,0,0,0,0,0
"hsa-miR-1260a",163.406702942955,64.4039415212211,117.6678237336,292.226767971946,0,696.526452863329,195.819258824105,0,147.20314033366
"hsa-miR-1260b",0,0,0,0,0,0,0,0,0
"hsa-miR-1261",0,0,0,0,0,0,0,0,0
"hsa-miR-1262",0,0,0,0,0,0,0,0,0
"hsa-miR-1263",16.3406702942955,0,0,0,0,0,0,0,0
"hsa-miR-1264",0,0,0,0,0,0,0,0,0
"hsa-miR-1265",81.7033514714774,64.4039415212211,29.4169559334,0,208.217656857302,60.5675176402895,97.9096294120527,84.2034355001684,49.0677134445535
"hsa-miR-1266-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1266-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1267",0,0,0,0,69.4058856191005,0,0,0,0
"hsa-miR-1268a",0,0,0,0,0,0,0,0,0
"hsa-miR-1268b",0,0,0,0,0,0,0,0,0
"hsa-miR-1269a",0,0,0,0,0,0,0,0,0
"hsa-miR-1269b",0,0,0,0,0,0,0,0,0
"hsa-miR-127-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-127-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1270",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-1271-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1271-5p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-1272",1993.56177590405,901.655181297095,1235.5121492028,759.78959672706,485.841199333704,938.796523424488,1272.82518235668,926.237790501852,637.880274779195
"hsa-miR-1273c",588.264130594637,1030.46306433954,1970.9360475378,1753.36060783168,2012.77068295391,757.093970503619,1615.50888529887,1010.44122600202,1079.48969578018
"hsa-miR-1273h-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1273h-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1275",0,0,0,0,0,0,0,0,49.0677134445535
"hsa-miR-1276",0,0,0,0,0,0,0,0,0
"hsa-miR-1277-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1277-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1278",0,0,0,0,0,0,0,0,0
"hsa-miR-1279",212.428713825841,193.211824563663,441.254339001,526.008182349503,0,272.553829381303,244.774073530132,505.22061300101,343.473994111874
"hsa-miR-128-1-5p",0,64.4039415212211,0,0,0,30.2837588201448,0,0,0
"hsa-miR-128-2-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-128-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1281",0,0,0,0,0,0,0,0,0
"hsa-miR-1282",0,0,0,0,0,0,0,0,0
"hsa-miR-1283",0,0,0,0,0,0,0,0,0
"hsa-miR-1284",0,0,0,0,0,0,0,0,0
"hsa-miR-1285-3p",2957.66132326748,3349.0049591035,2382.7734306054,5727.64465225015,3539.70016657413,3270.64595257563,3426.83702942184,3620.74772650724,3189.40137389598
"hsa-miR-1285-5p",522.901449417455,966.059122818316,1706.1834441372,818.234950321449,1179.90005552471,999.364041064777,1174.91555294463,926.237790501852,686.947988223749
"hsa-miR-1286",0,0,0,0,0,0,0,0,0
"hsa-miR-1287-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1287-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1288-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1288-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1289",16.3406702942955,0,0,0,0,0,0,0,0
"hsa-miR-129-1-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-129-2-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-129-5p",996.780887952024,1352.48277194564,1029.593457669,2104.03272939801,1318.71182676291,969.080282244632,2154.01184706516,1178.84809700236,1128.55740922473
"hsa-miR-1290",3072.04601532755,3284.60101758228,4030.1229628758,3623.61192285213,4858.41199333703,5208.8065170649,4944.43628530866,8504.54698551701,7458.29244357213
"hsa-miR-1291",0,0,0,0,0,0,0,0,49.0677134445535
"hsa-miR-1292-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1292-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1293",0,0,0,0,0,0,0,0,0
"hsa-miR-1294",0,0,0,0,0,0,0,0,0
"hsa-miR-1295a",0,0,0,0,0,0,0,0,0
"hsa-miR-1295b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1295b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1296-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1296-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1297",0,0,0,0,0,0,0,0,0
"hsa-miR-1298-3p",0,0,0,0,0,0,0,84.2034355001684,0
"hsa-miR-1298-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1299",0,0,0,0,0,0,0,0,0
"hsa-miR-1301-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1301-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1302",686.30815236041,1610.09853803053,1353.1799729364,2162.4780829924,1318.71182676291,2574.1194997123,2105.05703235913,2526.10306500505,1128.55740922473
"hsa-miR-1303",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-1304-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1304-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1305",16.3406702942955,0,0,0,0,0,0,0,0
"hsa-miR-1306-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1306-5p",0,0,0,0,0,0,0,0,49.0677134445535
"hsa-miR-1307-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1307-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-130a-3p",0,0,0,58.4453535943892,0,0,0,0,49.0677134445535
"hsa-miR-130a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-130b-3p",16.3406702942955,0,0,0,0,0,0,0,0
"hsa-miR-130b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-132-3p",130.725362354364,322.019707606105,176.5017356004,467.562828755114,277.623542476402,242.270070561158,97.9096294120527,84.2034355001684,392.541707556428
"hsa-miR-132-5p",81.7033514714774,128.807883042442,0,175.336060783168,138.811771238201,30.2837588201448,146.864444118079,168.406871000337,196.270853778214
"hsa-miR-1321",0,0,0,0,0,60.5675176402895,97.9096294120527,336.813742000674,0
"hsa-miR-1322",0,0,0,0,0,0,0,0,0
"hsa-miR-1323",0,0,0,0,0,0,0,0,0
"hsa-miR-1324",0,0,0,0,0,0,0,0,0
"hsa-miR-133a-3p",32.6813405885909,0,29.4169559334,58.4453535943892,69.4058856191005,0,48.9548147060263,0,0
"hsa-miR-133a-5p",0,64.4039415212211,0,0,0,30.2837588201448,0,0,0
"hsa-miR-133b",0,0,0,0,69.4058856191005,30.2837588201448,0,252.610306500505,49.0677134445535
"hsa-miR-134-3p",0,0,0,0,0,0,146.864444118079,0,0
"hsa-miR-134-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1343-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1343-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-135a-2-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-135a-3p",2140.62780855271,4379.46802344303,5118.5503324116,4091.17475160725,3817.32370905053,4815.11765240302,3818.47554707005,3115.52711350623,3287.53680078508
"hsa-miR-135a-5p",1241.89094236646,1674.50247955175,2941.69559334,2454.70485096435,2290.39422543032,1544.47169982738,2692.51480883145,2441.89962950488,2208.04710500491
"hsa-miR-135b-3p",490.220108828864,322.019707606105,0,116.890707188778,69.4058856191005,242.270070561158,146.864444118079,84.2034355001684,343.473994111874
"hsa-miR-135b-5p",1650.40769972384,2447.3497778064,2412.1903865388,2220.92343658679,3123.26485285952,2967.80836437419,2790.4244382435,3789.15459750758,4317.95878312071
"hsa-miR-136-3p",735.330163243296,1159.27094738198,706.0069424016,1110.4617182934,1665.74125485841,666.242694043185,1321.77999706271,1010.44122600202,981.35426889107
"hsa-miR-136-5p",1993.56177590405,3026.98525149739,2794.610813673,3857.39333722969,2845.64131038312,1968.44432330941,3622.65628824595,1431.45840350286,2060.84396467125
"hsa-miR-137-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-137-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-138-1-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-138-2-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-138-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-139-3p",0,0,0,58.4453535943892,0,0,0,0,0
"hsa-miR-139-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-140-3p",16.3406702942955,64.4039415212211,147.084779667,0,0,0,0,0,0
"hsa-miR-140-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-141-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-141-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",0,0,0,0,0,30.2837588201448,0,0,98.135426889107
"hsa-miR-142-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-143-3p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-143-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-144-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-144-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-145-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-145-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1468-3p",490.220108828864,450.827590648548,1353.1799729364,467.562828755114,1249.30594114381,605.675176402895,538.50296176629,1094.64466150219,539.744847890088
"hsa-miR-1468-5p",65.3626811771819,64.4039415212211,58.8339118668,233.781414377557,277.623542476402,211.986311741013,0,84.2034355001684,196.270853778214
"hsa-miR-1469",0,0,0,0,0,0,0,0,0
"hsa-miR-146a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-146a-5p",0,0,0,0,0,121.135035280579,0,0,0
"hsa-miR-146b-3p",16.3406702942955,0,0,0,0,0,0,0,0
"hsa-miR-146b-5p",0,0,0,0,69.4058856191005,0,0,0,0
"hsa-miR-1470",1634.06702942955,2833.77342693373,1676.7664882038,2688.48626534191,2637.42365352582,2362.13318797129,3426.83702942184,3873.35803300775,4170.75564278705
"hsa-miR-1471",0,0,0,0,0,0,0,0,0
"hsa-miR-147a",0,0,0,0,0,0,0,0,0
"hsa-miR-147b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-147b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-148a-3p",1781.13306207821,2447.3497778064,3000.5295052068,3389.83050847458,2637.42365352582,1181.06659398565,3133.10814118569,1515.66183900303,1619.23454367026
"hsa-miR-148a-5p",179.74737323725,64.4039415212211,264.7526034006,292.226767971946,69.4058856191005,0,244.774073530132,168.406871000337,196.270853778214
"hsa-miR-148b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-148b-5p",0,64.4039415212211,88.2508678002,0,0,0,0,0,0
"hsa-miR-149-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-149-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-150-3p",604.604800888932,1674.50247955175,2824.0277696064,1811.80596142607,1457.52359800111,1241.63411162594,1958.19258824105,1684.06871000337,1079.48969578018
"hsa-miR-150-5p",473.879438534569,966.059122818316,1441.4308407366,1402.68848626534,832.870627429206,423.972623482027,1566.55407059284,842.034355001684,1324.82826300294
"hsa-miR-151a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-151a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-151b",588.264130594637,1288.07883042442,2941.69559334,1402.68848626534,1873.95891171571,757.093970503619,1909.23777353503,2020.88245200404,1913.64082433759
"hsa-miR-152-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-152-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-153-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-153-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1537-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1537-5p",0,0,0,0,0,0,0,0,0
