"gene_id","SRR2105143.count","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105187.count","SRR2105188.count","SRR2105193.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105275.count","SRR2105276.count","SRR2105277.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105375.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105487.count","SRR2105488.count"
"hsa-miR-4790-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.908161178155,0,0,0,0,0,0,0
"hsa-miR-4790-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4793-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.733434045183,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8096907035836,0
"hsa-miR-4793-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4794",0,0,39.599255533996,22.0857811740801,0,0,0,0,0,0,0,0,0,0,0,33.0120163739601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4795-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4795-5p",489.931899465974,725.674776754218,752.385855145923,706.744997570564,156.201187129022,367.802563583868,703.23488045007,531.711259517632,704.814765869345,508.84111436204,947.102567700295,773.484299914423,543.773790103317,280.916411761034,700.405136304333,462.168229235442,581.030871087598,242.17179667256,397.547438112567,551.67340934167,540.847508045107,1037.63419403759,409.08161178155,513.109959464313,298.887822680866,264.566929133858,863.252893859133,681.163217186272,438.096907035836,604.329194594001
"hsa-miR-4796-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4796-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4797-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.908161178155,0,0,0,0,0,0,0
"hsa-miR-4797-5p",0,20.1576326876172,0,22.0857811740801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4798-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.733434045183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4798-5p",0,0,0,0,0,0,0,0,0,0,0,16.4571127641367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4799-3p",0,0,0,0,0,0,46.882325363338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4618760716702,12.5984251968504,0,0,0,0
"hsa-miR-4799-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4800-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4800-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4802-3p",0,40.3152653752343,118.797766601988,110.428905870401,117.150890346767,55.1703845375802,140.646976090014,42.5369007614105,352.407382934672,101.768222872408,175.389364388943,65.8284510565466,0,62.4258692802297,68.667170225915,33.0120163739601,45.8708582437577,169.520257670792,107.032002568768,45.9727841118058,108.169501609021,119.727022388953,81.8163223563101,34.2073306309542,47.1928141075052,50.3937007874016,78.4775358053757,104.79434110558,0,54.9390176903637
"hsa-miR-4802-5p",48.9931899465974,20.1576326876172,633.588088543935,905.517028137285,195.251483911278,349.412435404675,93.764650726676,233.952954187758,396.458305801507,559.725225798245,245.545110144521,181.028240405503,135.943447525829,156.064673200574,219.734944722928,264.096130991681,290.515435543799,387.474874676095,290.515435543799,735.564545788893,351.550880229319,199.545037314922,286.357128247085,273.658645047634,818.008777863424,768.503937007874,156.955071610751,130.992926381975,262.858144221502,137.347544225909
"hsa-miR-4803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4804-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4804-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2387679026879,0,0,0
"hsa-miR-483-3p",832.884229092156,1128.82743050656,1861.16501009781,1811.03405627457,1483.91127772571,1066.62743439322,1406.46976090014,1467.52307626866,2422.80075767587,1577.40745452233,1438.19278798934,1333.02613389507,725.031720137756,1310.94325488482,1469.47744283458,1617.58880232405,1666.64118285653,1501.46513936987,1788.96347150655,1563.0746598014,1595.50014873306,1396.81526120445,1595.41828594805,1676.15920091676,3492.26824395539,2859.84251968504,1137.92426917795,916.950484673828,1007.62288618242,1236.12789803318
"hsa-miR-483-5p",2106.70716770369,1390.87665544558,6533.87716310933,6824.50638279076,2772.57107154014,4854.99383930706,2859.82184716362,4508.91148070952,3347.87013787939,4401.47563923165,3542.86516065666,3637.0219208742,1631.32137030995,4338.59791497597,4023.89617523862,6536.3792420441,5963.21157168851,5812.12312014143,5825.59899695723,5976.46193453476,6598.3395981503,2075.26838807519,5808.95888729802,5729.72788068483,8321.66622095676,9020.47244094488,2903.6688247989,2698.45428346869,2540.96206080785,2334.90825184046
"hsa-miR-484",244.965949732987,181.418694188554,514.790321941947,684.659216396484,351.4526710403,239.071666329514,281.293952180028,191.416053426347,660.763843002511,737.819615824959,245.545110144521,246.85669146205,226.572412543049,499.406954241838,645.471400123601,594.216294731282,581.030871087598,484.343593345119,565.740585006345,781.537329900699,621.974634251873,319.272059703875,409.08161178155,496.006294148836,1085.43472447262,1222.04724409449,235.432607416127,26.1985852763951,306.667834925085,302.164597297
"hsa-miR-485-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-485-5p",0,0,0,0,0,18.3901281791934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-486-3p",48.9931899465974,40.3152653752343,0,22.0857811740801,39.0502967822555,0,0,0,0,76.3261671543061,0,82.2855638206833,45.3144825086098,0,41.200302135549,0,0,96.8687186690238,15.2902860812526,45.9727841118058,27.0423754022553,0,40.908161178155,0,15.7309380358351,25.1968503937008,39.2387679026879,0,43.8096907035836,54.9390176903637
"hsa-miR-486-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-487a-3p",0,0,39.599255533996,22.0857811740801,0,36.7802563583868,46.882325363338,0,0,25.442055718102,0,16.4571127641367,0,0,0,0,15.2902860812526,24.217179667256,15.2902860812526,45.9727841118058,0,0,0,0,0,0,39.2387679026879,0,0,27.4695088451818
"hsa-miR-487a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-487b-3p",48.9931899465974,80.6305307504687,158.397022135984,66.2573435222404,39.0502967822555,36.7802563583868,46.882325363338,85.073801522821,44.0509228668341,25.442055718102,280.622983022309,213.942465933777,45.3144825086098,218.490542480804,164.801208542196,264.096130991681,275.225149462546,48.4343593345119,107.032002568768,45.9727841118058,27.0423754022553,79.8180149259688,40.908161178155,51.3109959464313,157.309380358351,113.385826771654,117.716303708064,288.184438040346,131.429072110751,54.9390176903637
"hsa-miR-487b-5p",587.918279359169,866.778205567538,475.191066407952,618.401872874244,468.603561387067,275.851922687901,328.176277543366,467.905908375516,220.25461433417,279.862612899122,140.311491511155,263.313804226187,498.459307594707,967.600973843561,837.739476756163,396.144196487521,275.225149462546,363.257695008839,275.225149462546,229.863920559029,378.593255631575,159.636029851938,204.540805890775,205.243983785725,346.080636788372,440.944881889764,1648.02825191289,1964.89389572963,262.858144221502,412.042632677728
"hsa-miR-488-3p",0,0,0,0,0,0,0,0,44.0509228668341,0,0,0,0,0,0,33.0120163739601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-488-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-489-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-489-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-490-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-490-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-491-3p",0,0,0,0,0,0,0,0,0,0,35.0778728777887,32.9142255282733,0,0,0,33.0120163739601,30.5805721625052,0,0,0,0,0,0,0,0,0,0,0,0,54.9390176903637
"hsa-miR-491-5p",48.9931899465974,80.6305307504687,39.599255533996,0,273.352077475789,91.950640895967,0,0,0,25.442055718102,105.233618633366,0,453.144825086098,31.2129346401149,27.466868090366,33.0120163739601,45.8708582437577,72.6515390017679,15.2902860812526,91.9455682236116,0,0,0,51.3109959464313,15.7309380358351,12.5984251968504,39.2387679026879,52.3971705527902,175.238762814335,219.756070761455
"hsa-miR-492",0,100.788163438086,0,0,0,0,46.882325363338,63.8053511421158,0,0,0,0,0,31.2129346401149,13.733434045183,0,0,0,0,0,0,39.9090074629844,0,0,0,0,0,26.1985852763951,0,82.4085265355455
"hsa-miR-493-3p",0,0,0,0,0,0,0,21.2684503807053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-493-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-494-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-494-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2902860812526,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-495-3p",0,0,0,0,0,0,0,0,44.0509228668341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-495-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7309380358351,0,0,0,0,0
"hsa-miR-496",0,0,39.599255533996,0,0,0,0,0,0,0,0,0,0,0,0,33.0120163739601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-497-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.733434045183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-497-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-498-3p",489.931899465974,745.832409441835,673.187344077931,684.659216396484,234.301780693533,367.802563583868,562.587904360056,510.442809136926,572.661997268843,483.399058643938,771.713203311351,740.57007438615,589.088272611927,343.342281041264,700.405136304333,363.132180113561,473.99886851883,266.388976339815,290.515435543799,551.67340934167,405.63563103383,957.816179111626,449.989772959705,513.109959464313,235.964070537526,214.173228346457,902.491661761821,733.560387739062,394.287216332253,604.329194594001
"hsa-miR-498-5p",0,20.1576326876172,118.797766601988,44.1715623481603,0,0,0,0,88.1018457336681,0,0,0,0,0,0,0,0,48.4343593345119,0,45.9727841118058,0,0,40.908161178155,0,15.7309380358351,0,39.2387679026879,0,0,0
"hsa-miR-4999-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4999-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,31.2129346401149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-499a-3p",0,0,0,0,0,0,0,0,88.1018457336681,0,0,16.4571127641367,0,0,27.466868090366,0,0,0,0,91.9455682236116,0,79.8180149259688,40.908161178155,17.1036653154771,0,25.1968503937008,0,0,0,0
"hsa-miR-499a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-499b-3p",636.911469305767,483.783184502812,2336.35607650576,2363.17858562657,1093.40830990316,1673.5016643066,1218.94045944679,1701.47603045642,1409.62953173869,1297.5448416232,1227.7255507226,1201.36923178198,679.717237629146,1591.85966664586,1414.54370665385,2145.78106430741,2262.96234002538,1864.72283437871,2048.89833488785,2068.77528503126,2190.43240758268,718.362134333719,1922.68357537329,2103.75083380368,2925.95447466532,3212.59842519685,784.775358053757,943.149069950223,876.193814071673,796.615756510274
"hsa-miR-499b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5000-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5000-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5001-3p",48.9931899465974,0,0,0,0,0,0,21.2684503807053,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9090074629844,0,0,0,0,0,0,0,27.4695088451818
"hsa-miR-5001-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4695088451818
"hsa-miR-5002-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5002-5p",48.9931899465974,40.3152653752343,0,0,0,18.3901281791934,46.882325363338,0,0,25.442055718102,70.1557457555774,0,45.3144825086098,0,0,0,15.2902860812526,0,15.2902860812526,45.9727841118058,0,0,40.908161178155,51.3109959464313,15.7309380358351,12.5984251968504,0,26.1985852763951,43.8096907035836,54.9390176903637
"hsa-miR-5003-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5003-5p",0,0,0,0,39.0502967822555,18.3901281791934,0,0,0,25.442055718102,0,0,0,0,0,0,0,24.217179667256,30.5805721625052,0,27.0423754022553,0,0,0,0,0,0,0,0,54.9390176903637
"hsa-miR-5004-3p",97.9863798931948,201.576326876172,435.591810873956,242.943592914881,546.704154951578,698.82487080935,609.470229723394,510.442809136926,484.560151535175,915.914005851673,385.856601655676,230.399578697913,271.886895051658,624.258692802297,618.004532033235,594.216294731282,581.030871087598,992.904366357494,764.514304062629,873.482898124311,784.228886665405,478.908089555813,490.89793413786,598.628286041699,1588.82474161934,1360.62992125984,196.193839513439,157.19151165837,394.287216332253,274.695088451818
"hsa-miR-5004-5p",1322.81612855813,1189.30032856941,791.985110679919,530.058748177923,1522.96157450797,974.676793497251,1218.94045944679,1148.49632055808,2202.5461433417,1399.31306449561,876.946821944717,872.226976499243,2990.75584556824,2403.39596728884,1840.28016205452,858.312425722963,840.965734468892,1017.12154602475,1207.93260041895,2804.33983082015,2001.13577976689,3551.90166420561,1677.23460830436,1573.53720902389,1746.13412197769,1272.44094488189,2236.60977045321,2462.66701598114,3198.10742136161,2884.29842874409
"hsa-miR-5006-3p",0,0,0,0,0,18.3901281791934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0847508045107,0,40.908161178155,0,0,0,0,0,0,0
"hsa-miR-5006-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5007-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
